date;value
25.08.2015;221,61
26.08.2015;225,83
27.08.2015;224,77
28.08.2015;231,4
29.08.2015;229,78
30.08.2015;228,76
31.08.2015;230,06
01.09.2015;228,12
02.09.2015;229,28
03.09.2015;227,18
04.09.2015;230,3
05.09.2015;235,02
06.09.2015;239,84
07.09.2015;239,85
08.09.2015;243,61
09.09.2015;238,17
10.09.2015;238,48
11.09.2015;240,11
12.09.2015;235,23
13.09.2015;230,51
14.09.2015;230,64
15.09.2015;230,3
16.09.2015;229,09
17.09.2015;229,81
18.09.2015;232,97
19.09.2015;231,49
20.09.2015;231,21
21.09.2015;227,09
22.09.2015;230,62
23.09.2015;230,28
24.09.2015;234,53
25.09.2015;235,14
26.09.2015;234,34
27.09.2015;232,76
28.09.2015;239,14
29.09.2015;236,69
30.09.2015;236,06
01.10.2015;237,55
02.10.2015;237,29
03.10.2015;238,73
04.10.2015;238,26
05.10.2015;240,38
06.10.2015;246,06
07.10.2015;242,97
08.10.2015;242,3
09.10.2015;243,93
10.10.2015;244,94
11.10.2015;247,05
12.10.2015;245,31
13.10.2015;249,51
14.10.2015;251,99
15.10.2015;254,32
16.10.2015;262,87
17.10.2015;270,64
18.10.2015;261,64
19.10.2015;263,44
20.10.2015;269,46
21.10.2015;266,27
22.10.2015;274,02
23.10.2015;276,5
24.10.2015;281,65
25.10.2015;283,68
26.10.2015;285,3
27.10.2015;293,79
28.10.2015;304,62
29.10.2015;313,86
30.10.2015;328,01
31.10.2015;314,17
01.11.2015;325,43
02.11.2015;361,19
03.11.2015;403,42
04.11.2015;411,56
05.11.2015;386,35
06.11.2015;374,47
07.11.2015;386,48
08.11.2015;373,37
09.11.2015;380,26
10.11.2015;336,82
11.11.2015;311,08
12.11.2015;338,15
13.11.2015;336,75
14.11.2015;332,91
15.11.2015;320,17
16.11.2015;330,75
17.11.2015;335,09
18.11.2015;334,59
19.11.2015;326,15
20.11.2015;322,02
21.11.2015;326,93
22.11.2015;324,54
23.11.2015;323,05
24.11.2015;320,05
25.11.2015;328,21
26.11.2015;352,68
27.11.2015;358,04
28.11.2015;357,38
29.11.2015;371,29
30.11.2015;377,32
01.12.2015;362,49
02.12.2015;359,19
03.12.2015;361,05
04.12.2015;363,18
05.12.2015;388,95
06.12.2015;388,78
07.12.2015;395,54
08.12.2015;415,56
09.12.2015;417,56
10.12.2015;415,48
11.12.2015;451,94
12.12.2015;435
13.12.2015;433,75
14.12.2015;444,18
15.12.2015;465,32
16.12.2015;454,93
17.12.2015;456,08
18.12.2015;463,62
19.12.2015;462,32
20.12.2015;442,69
21.12.2015;438,64
22.12.2015;436,57
23.12.2015;442,4
24.12.2015;454,99
25.12.2015;455,65
26.12.2015;417,27
27.12.2015;422,82
28.12.2015;422,28
29.12.2015;432,98
30.12.2015;426,62
31.12.2015;430,57
01.01.2016;434,33
02.01.2016;433,44
03.01.2016;430,01
04.01.2016;433,09
05.01.2016;431,96
06.01.2016;429,11
07.01.2016;458,05
08.01.2016;453,23
09.01.2016;447,61
10.01.2016;447,99
11.01.2016;448,43
12.01.2016;435,69
13.01.2016;432,37
14.01.2016;430,31
15.01.2016;364,33
16.01.2016;387,54
17.01.2016;382,3
